mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__l2_regularization,param_model__learning_rate,param_model__max_depth,param_model__max_iter,param_model__max_leaf_nodes,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.33056015968322755,0.05464504570543389,0.03266444206237793,0.0028519538652189134,0.9507404463642235,0.09903665535877423,7,321,15,32,"{'model__l2_regularization': 0.9507404463642235, 'model__learning_rate': 0.09903665535877423, 'model__max_depth': 7, 'model__max_iter': 321, 'model__max_leaf_nodes': 15, 'model__min_samples_leaf': 32}",0.9269736640321821,0.9272277093866429,0.9267280935823178,0.9289362418712898,0.9180186551604845,0.9255768728065835,0.0038578131347995802,11
0.3629437446594238,0.06144940749605988,0.033106422424316405,0.007197210030109704,1.2088347585556345,0.094236046054164,9,135,15,41,"{'model__l2_regularization': 1.2088347585556345, 'model__learning_rate': 0.094236046054164, 'model__max_depth': 9, 'model__max_iter': 135, 'model__max_leaf_nodes': 15, 'model__min_samples_leaf': 41}",0.9272333593230406,0.9274349409823787,0.9262442168865299,0.9290768084331871,0.9178762609106693,0.9255731173071613,0.003954506681980219,12
0.3480473518371582,0.03702604110419493,0.03288025856018066,0.005862216023602929,0.5035645916507283,0.08609878132357311,,200,15,26,"{'model__l2_regularization': 0.5035645916507283, 'model__learning_rate': 0.08609878132357311, 'model__max_depth': None, 'model__max_iter': 200, 'model__max_leaf_nodes': 15, 'model__min_samples_leaf': 26}",0.9270969537157209,0.9269454143501927,0.925566527193951,0.929659443723461,0.9184922598482124,0.9255521197663075,0.0037693426868579765,13
0.2630154132843018,0.03719197470975117,0.029955530166625978,0.0026096472778540645,1.852601757026698,0.11930130383535437,7,234,15,17,"{'model__l2_regularization': 1.852601757026698, 'model__learning_rate': 0.11930130383535437, 'model__max_depth': 7, 'model__max_iter': 234, 'model__max_leaf_nodes': 15, 'model__min_samples_leaf': 17}",0.9271680823793012,0.9272123738449916,0.926102060451091,0.9291972076260889,0.9179732423947744,0.9255305933392494,0.003908809136095376,14
0.2769602298736572,0.07602262649521416,0.032337188720703125,0.009761213308674414,0.5442644987692706,0.11844765428659994,,215,15,50,"{'model__l2_regularization': 0.5442644987692706, 'model__learning_rate': 0.11844765428659994, 'model__max_depth': None, 'model__max_iter': 215, 'model__max_leaf_nodes': 15, 'model__min_samples_leaf': 50}",0.9272214540999167,0.9265752426244115,0.9268178872143553,0.92818571323413,0.9188055070143548,0.9255211608374336,0.0034024529573489152,15
0.23344860076904297,0.03327873287081038,0.035256242752075194,0.007702423386840212,1.4222990648760356,0.16692638924979158,7,195,63,50,"{'model__l2_regularization': 1.4222990648760356, 'model__learning_rate': 0.16692638924979158, 'model__max_depth': 7, 'model__max_iter': 195, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 50}",0.9267566459394714,0.9263066688620705,0.9265210637700251,0.9291206724607517,0.9187170025798486,0.9254844107224335,0.0035324086070168425,16
0.45833373069763184,0.015833253679045763,0.046614217758178714,0.011333510029192658,0.22178164162366265,0.07615011173868397,5,162,,48,"{'model__l2_regularization': 0.22178164162366265, 'model__learning_rate': 0.07615011173868397, 'model__max_depth': 5, 'model__max_iter': 162, 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 48}",0.9264655733232603,0.9267820706532618,0.9262753924284395,0.9292976411236854,0.9185779385995186,0.9254797232256331,0.003619730012558263,17
0.426711893081665,0.01920013090288118,0.04319024085998535,0.004336090923387542,0.777354579378964,0.0533315900418161,9,123,31,34,"{'model__l2_regularization': 0.777354579378964, 'model__learning_rate': 0.0533315900418161, 'model__max_depth': 9, 'model__max_iter': 123, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 34}",0.9276727427696956,0.9268392762592901,0.9254588757272276,0.9287324506075924,0.9181454072354442,0.9253697505198499,0.0037674954618514616,18
0.7048026084899902,0.06572271538740007,0.06483564376831055,0.009830490232982233,0.31203728088487304,0.04176033121672976,5,302,,45,"{'model__l2_regularization': 0.31203728088487304, 'model__learning_rate': 0.04176033121672976, 'model__max_depth': 5, 'model__max_iter': 302, 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 45}",0.9269013246679452,0.9265961272107395,0.9260747187945941,0.9287279129495686,0.9185136543067247,0.9253627475859144,0.0035392022945870704,19
0.1813488006591797,0.019503407224813776,0.021219778060913085,0.0026457999720517584,0.749080237694725,0.22519400134221715,5,171,15,30,"{'model__l2_regularization': 0.749080237694725, 'model__learning_rate': 0.22519400134221715, 'model__max_depth': 5, 'model__max_iter': 171, 'model__max_leaf_nodes': 15, 'model__min_samples_leaf': 30}",0.9271287346079591,0.9264134123033017,0.9251970617102195,0.9294209645850917,0.918175379660813,0.925267110573477,0.0038034644479013127,20
0.24800677299499513,0.025097121502435663,0.03248443603515625,0.004876321916947027,1.719880813472641,0.12692909825843737,,266,31,13,"{'model__l2_regularization': 1.719880813472641, 'model__learning_rate': 0.12692909825843737, 'model__max_depth': None, 'model__max_iter': 266, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 13}",0.9267419157481485,0.9266668523074341,0.9257992843951985,0.929144772466701,0.9179732423947746,0.9252652134624514,0.0038119363313896554,21
0.6524696350097656,0.018814787323883083,0.07529239654541016,0.010785616859620884,0.6486900420105479,0.038863519953415325,,330,31,42,"{'model__l2_regularization': 0.6486900420105479, 'model__learning_rate': 0.038863519953415325, 'model__max_depth': None, 'model__max_iter': 330, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 42}",0.9269329037767404,0.9264080650420679,0.9256191926725167,0.9286551087474954,0.918251673107206,0.9251733886692053,0.0036014325314660278,22
0.6262763977050781,0.020933457431313567,0.055242729187011716,0.009321574396470031,0.6095625163160581,0.0425343159012811,5,236,31,46,"{'model__l2_regularization': 0.6095625163160581, 'model__learning_rate': 0.0425343159012811, 'model__max_depth': 5, 'model__max_iter': 236, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 46}",0.9267442362577404,0.9256047651563579,0.9263770912836009,0.9286993761224401,0.9182102970317814,0.9251271531703841,0.0036058034297158756,23
0.347351598739624,0.011741051626124632,0.0356177806854248,0.0074162926915073415,1.3684660530243138,0.07628197443979945,7,107,63,44,"{'model__l2_regularization': 1.3684660530243138, 'model__learning_rate': 0.07628197443979945, 'model__max_depth': 7, 'model__max_iter': 107, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 44}",0.9266051065739432,0.925373723114374,0.9261819666944321,0.9288429677896867,0.9186000394788311,0.9251207607302534,0.0034573996495028876,24
0.19923653602600097,0.018160430387022333,0.02451009750366211,0.0055536724405867354,1.3916256135817637,0.1851459173255729,7,286,,28,"{'model__l2_regularization': 1.3916256135817637, 'model__learning_rate': 0.1851459173255729, 'model__max_depth': 7, 'model__max_iter': 286, 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 28}",0.9265214673369105,0.9257410698719561,0.9262048691151876,0.9285451965864712,0.9185634065144914,0.9251152018850034,0.003413137974357802,25
0.3118175983428955,0.022221859428972635,0.03251185417175293,0.005116068611983456,0.5618690193747615,0.09480821845068792,,256,63,10,"{'model__l2_regularization': 0.5618690193747615, 'model__learning_rate': 0.09480821845068792, 'model__max_depth': None, 'model__max_iter': 256, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 10}",0.926733541735273,0.9255011493584901,0.9265121852985426,0.9282780797841285,0.9181880952352118,0.9250426102823293,0.0035406721796696016,26
0.817302942276001,0.03147976576069817,0.09514708518981933,0.023087191715751534,0.8989013482764068,0.03672625787414459,9,198,,49,"{'model__l2_regularization': 0.8989013482764068, 'model__learning_rate': 0.03672625787414459, 'model__max_depth': 9, 'model__max_iter': 198, 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 49}",0.9267364675951935,0.9254923717787291,0.92579938528692,0.9284203605723903,0.9186351586843134,0.9250167487835093,0.003349789107537291,27
0.43033299446105955,0.03211937647549376,0.04003210067749023,0.005498201427760954,0.9130691409658205,0.04767221224002713,7,129,31,20,"{'model__l2_regularization': 0.9130691409658205, 'model__learning_rate': 0.04767221224002713, 'model__max_depth': 7, 'model__max_iter': 129, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 20}",0.9264832293745037,0.9253877470636472,0.9259762484745172,0.9283714547025766,0.9186425256440841,0.9249722410518657,0.00331914785595344,28
0.30543694496154783,0.009951235599167626,0.03339509963989258,0.0074874393356447804,0.690142496053366,0.11514467797120155,3,152,,35,"{'model__l2_regularization': 0.690142496053366, 'model__learning_rate': 0.11514467797120155, 'model__max_depth': 3, 'model__max_iter': 152, 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 35}",0.9266588818614441,0.9265785720512174,0.9248811697305465,0.9262895772011928,0.9182368382704074,0.9245290078229615,0.0032109841845875575,29
0.6394509315490723,0.060002428552925445,0.05338926315307617,0.0045835402573224104,0.4246782213565523,0.04411122254699824,9,260,,31,"{'model__l2_regularization': 0.4246782213565523, 'model__learning_rate': 0.04411122254699824, 'model__max_depth': 9, 'model__max_iter': 260, 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 31}",0.9263319926841396,0.923922900160781,0.9255474586586081,0.928507181095915,0.9178452793127293,0.9244309623824346,0.0036084730249376193,30
0.18208179473876954,0.012952215159946294,0.01913142204284668,0.0025457871449448615,0.53356202855057,0.23790667178800579,7,153,63,46,"{'model__l2_regularization': 0.53356202855057, 'model__learning_rate': 0.23790667178800579, 'model__max_depth': 7, 'model__max_iter': 153, 'model__max_leaf_nodes': 63, 'model__min_samples_leaf': 46}",0.9267533165126657,0.9244589378765279,0.9251559987796139,0.9281392274485959,0.9174134543694549,0.9243841869973716,0.003712290342675631,31
0.3059638500213623,0.05108242399347054,0.03537807464599609,0.006195145192735682,0.28573363584388156,0.11925361896091136,9,101,,39,"{'model__l2_regularization': 0.28573363584388156, 'model__learning_rate': 0.11925361896091136, 'model__max_depth': 9, 'model__max_iter': 101, 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 39}",0.926217884147247,0.9249269745720576,0.9252797929217595,0.9283209354432433,0.9169066479041302,0.9243304469976875,0.00389503049640667,32
0.3506690502166748,0.0327915022040494,0.029746484756469727,0.005815091375993135,1.8186408041575641,0.051929090334109765,7,101,31,15,"{'model__l2_regularization': 1.8186408041575641, 'model__learning_rate': 0.051929090334109765, 'model__max_depth': 7, 'model__max_iter': 101, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 15}",0.9259005796834744,0.9244133348184594,0.9247795717671063,0.9276873775462564,0.9170571155345162,0.9239675958699625,0.003638294344247886,33
0.4126429557800293,0.016546084961775002,0.03460659980773926,0.0074020496052474224,1.381875476204932,0.06811369093524773,3,203,15,20,"{'model__l2_regularization': 1.381875476204932, 'model__learning_rate': 0.06811369093524773, 'model__max_depth': 3, 'model__max_iter': 203, 'model__max_leaf_nodes': 15, 'model__min_samples_leaf': 20}",0.925813106561029,0.9237651055085265,0.9232740655005198,0.9260914328008141,0.9171254365175957,0.923213829377697,0.0032376814147896935,34
